site,zone,depth
PYRAMID_POINT_1,OUTER,20
BROOKINGS_3,INNER,5.7
BROOKINGS_3,MID,12
TEN_MILE_2,INNER,4.6
TEN_MILE_2,MID,13.4
TEN_MILE_2,OUTER,19.2
ABALONE_POINT_1,INNER,4.6
ABALONE_POINT_1,MID,12.4
ABALONE_POINT_1,OUTER,17.5
ABALONE_POINT_2,MID,12.6
ABALONE_POINT_2,OUTER,17.8
TEN_MILE_3,INNER,4.4
TEN_MILE_3,MID,12.1
TEN_MILE_3,OUTER,16.9
ABALONE_POINT_3,INNER,4.1
ABALONE_POINT_3,MID,12.1
ABALONE_POINT_3,OUTER,17.9
ABALONE_POINT_2,INNER,5.1
POINT_CABRILLO_1,MID,12.4
POINT_CABRILLO_1,OUTER,18.4
POINT_CABRILLO_1,INNER,4.5
CASPAR_3,INNER,4.2
CASPAR_3,MID,12.4
CASPAR_3,OUTER,17.9
DOUBLE_CONE_1,INNER,4.7
DOUBLE_CONE_1,MID,10.6
DOUBLE_CONE_1,OUTER,13.4
DOUBLE_CONE_2,INNER,4
DOUBLE_CONE_2,MID,10.6
DOUBLE_CONE_2,OUTER,14.6
TRINIDAD_1,INNER,4.5
TRINIDAD_1,MID,12.6
TRINIDAD_1,OUTER,17.2
